SPCD,COMMON_NAME,GENUS,MYCO_ASSO,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_SRS,SFTWD_HRDWD,EAST,WEST,CARIBBEAN,ref
885,mango,Mangifera,AM,indica,,,MAIN3,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
886,Florida poisontree,Metopium,AM,toxiferum,,,METO3,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
887,fishpoison tree,Piscidia,AM,piscipula,,,PIPI3,43,,,3,37,227,,,X,H,E,,,10.1111/nph.12221
888,"octopus tree, schefflera",Schefflera,AM,actinophylla,,,SCAC2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
890,false mastic,Sideroxylon,AM,foetidissimum,,,SIFO,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
891,"white bully, willow bustic",Sideroxylon,AM,salicifolium,,,SISA6,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
895,paradisetree,Simarouba,AM,glauca,,,SIGL3,43,,,3,37,227,,,X,H,E,,,10.1111/nph.12221
896,Java plum,Syzygium,AM,cumini,,,SYCU,43,,,3,37,227,,,X,H,E,,,10.1111/nph.12221
897,tamarind,Tamarindus,AM,indica,,,TAIN2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
906,"Everglades palm, paurotis-palm",Acoelorraphe,AM,wrightii,,,ACWR4,43,,,3,37,147,,,X,H,E,,,10.1111/nph.12221
907,Florida silver palm,Coccothrinax,AM,argentata,,,COAR,43,,,3,37,147,,,X,H,E,,,10.1111/nph.12221
908,coconut palm  ,Cocos,AM,nucifera,,,CONU,43,53,,3,37,147,,,X,H,E,,C,10.1111/nph.12221
909,royal palm spp.,Roystonea,AM,spp.,,,ROYST,43,53,,3,37,147,,,X,H,E,,C,10.1111/nph.12221
911,Mexican palmetto,Sabal,AM,mexicana,,,SAME8,41,,,3,37,147,,,X,H,E,,,10.1111/nph.12221
912,cabbage palmetto,Sabal,AM,palmetto,,,SAPA,43,,,3,37,147,,,X,H,E,,,10.1111/nph.12221
913,key thatch palm,Thrinax,AM,morrisii,,,THMO4,43,53,,3,37,147,,,X,H,E,,C,10.1111/nph.12221
914,Florida thatch palm,Thrinax,AM,radiata,,,THRA2,43,54,,3,37,147,,,X,H,E,,C,10.1111/nph.12221
915,other palms,Family Arecaceae,AM,not listed above,,,ARECA,43,,,3,37,147,,,X,H,E,,,10.1111/nph.12221
919,western soapberry,Sapindus,AM,saponaria,drummondii,,SASAD,43,,,4,37,221,X,,X,H,E,W,,10.1111/nph.12221
922,black willow,Salix,AM,nigra,,,SANI,41,,,3,25,123,X,X,X,H,E,W,,10.1111/nph.12221
931,sassafras,Sassafras,AM,albidum,,,SAAL5,41,,,3,29,93,X,X,X,H,E,,,10.1111/nph.12221
940,West Indian mahogany,Swietenia,AM,mahagoni,,,SWMA2,43,54,,4,37,146,,,X,H,E,,C,10.1111/nph.12221
970,elm spp.,Ulmus,AM,spp.,,,ULMUS,41,,,3,36,221,X,X,X,H,E,,,10.1111/nph.12221
971,winged elm,Ulmus,AM,alata,,,ULAL,41,,,4,36,209,X,X,X,H,E,,,10.1111/nph.12221
972,American elm,Ulmus,AM,americana,,,ULAM,41,,,3,36,94,X,X,X,H,E,,,10.1111/nph.12221
973,cedar elm,Ulmus,AM,crassifolia,,,ULCR,41,,,3,36,209,X,,X,H,E,,,10.1111/nph.12221
974,Siberian elm,Ulmus,AM,pumila,,,ULPU,41,,,3,36,146,X,X,X,H,E,,,10.1111/nph.12221
975,slippery elm,Ulmus,AM,rubra,,,ULRU,41,,,3,36,94,X,X,X,H,E,,,10.1111/nph.12221
976,September elm,Ulmus,AM,serotina,,,ULSE,41,,,3,36,101,X,,X,H,E,,,10.1111/nph.12221
977,rock elm,Ulmus,AM,thomasii,,,ULTH,42,,,4,36,94,X,X,X,H,E,,,10.1111/nph.12221
986,black-mangrove,Avicennia,AM,germinans,,,AVGE,43,54,,4,37,149,,,X,H,E,,C,10.1111/nph.12221
987,buttonwood-mangrove,Conocarpus,AM,erectus,,,COER2,43,54,,4,37,149,,,X,H,E,,C,10.1111/nph.12221
988,white-mangrove,Laguncularia,AM,racemosa,,,LARA2,43,54,,4,37,149,,,X,H,E,,C,10.1111/nph.12221
989,American mangrove,Rhizophora,AM,mangle,,,RHMA2,43,54,,4,37,149,,,X,H,E,,C,10.1111/nph.12221
991,saltcedar,Tamarix,AM,spp.,,,TAMAR2,43,54,,3,37,146,X,,X,H,E,W,C,10.1111/nph.12221
993,chinaberry,Melia,AM,azedarach,,,MEAZ,43,54,,4,33,146,X,,X,H,E,,C,10.1111/nph.12221
994,Chinese tallowtree,Triadica,AM,sebifera,,,TRSE6,43,,,4,37,146,,,X,H,E,,,10.1111/nph.12221
